,epoch,PE_16400,vix_close,CE_16450,PE_16350,CE_16500,PE_16300,CE_16550,PE_16250,CE_16600,PE_16200,CE_16650,PE_16150,CE_16700,PE_16100,CE_16750,PE_16050,CE_16800,PE_16000,CE_16850,PE_15950,CE_16900,PE_15900,CE_16950,PE_15850,CE_17000,nifty_close
0,1654659900,81.55,19.84,99.85,63.05,76.35,47.8,56.45,35.85,40.4,26.5,28.6,19.1,19.6,13.7,13.15,9.55,8.7,6.75,5.55,4.55,3.8,3.2,2.75,2.2,2.25,16446.35
1,1654659960,91.0,19.94,93.95,70.9,71.45,54.65,52.9,41.3,38.25,30.6,27.0,22.4,18.6,16.35,12.6,11.5,8.35,8.2,5.5,5.7,3.8,3.95,2.9,2.75,2.35,16422.45
2,1654660020,95.3,20.13,94.0,74.85,72.15,57.15,54.3,43.6,39.55,32.3,28.3,23.8,19.8,17.0,13.55,12.1,9.1,8.55,6.0,5.8,4.1,4.1,3.05,2.85,2.45,16414.55
3,1654660080,99.5,20.16,91.15,78.05,69.75,60.25,52.25,45.75,38.35,34.1,27.4,25.1,19.25,18.15,13.1,13.0,9.0,9.1,6.0,6.3,4.25,4.45,3.15,3.05,2.55,16408.75
4,1654660140,96.2,20.17,92.2,75.25,70.7,57.7,53.0,43.75,38.7,32.65,27.6,23.9,19.4,17.2,13.25,12.15,8.95,8.6,5.95,5.85,4.15,4.15,3.15,2.9,2.6,16410.75
5,1654660200,96.85,20.19,92.0,76.05,70.35,58.55,52.85,44.35,38.55,33.2,27.55,24.3,19.35,17.55,13.2,12.55,8.95,8.9,6.1,6.1,4.35,4.35,3.2,3.05,2.6,16409.3
6,1654660260,100.35,20.15,89.4,78.9,67.95,60.75,50.75,46.45,36.9,34.4,26.3,25.3,18.4,18.4,12.5,13.05,8.6,9.35,5.75,6.4,4.1,4.55,3.2,3.1,2.55,16404.05
7,1654660320,103.0,20.17,86.85,81.35,66.05,63.0,49.15,47.95,35.85,35.9,25.5,26.3,17.7,19.15,12.1,13.7,8.25,9.8,5.6,6.7,4.0,4.75,3.05,3.3,2.45,16398.85
8,1654660380,99.8,20.14,89.35,78.4,68.25,60.65,50.45,46.0,36.9,34.5,26.05,25.2,18.15,18.45,12.5,13.1,8.5,9.4,5.7,6.45,4.05,4.55,3.1,3.2,2.5,16404.6
9,1654660440,102.35,20.13,87.75,81.0,66.9,62.5,49.75,47.5,36.1,35.65,25.8,26.05,18.0,18.9,12.25,13.6,8.4,9.7,5.7,6.75,4.05,4.8,3.05,3.4,2.55,16399.55
10,1654660500,101.05,20.12,88.45,79.4,67.3,61.2,50.1,46.55,36.4,34.95,26.0,25.6,18.05,18.7,12.3,13.3,8.4,9.55,5.65,6.7,4.05,4.75,3.05,3.4,2.5,16402.0
11,1654660560,101.0,20.12,88.25,79.25,67.15,61.2,49.9,46.5,36.1,34.8,25.75,25.55,17.9,18.55,12.2,13.3,8.3,9.55,5.6,6.65,3.95,4.75,3.1,3.3,2.5,16404.55
12,1654660620,101.8,20.14,86.65,79.95,65.95,61.7,48.95,46.8,35.25,34.9,25.15,25.8,17.5,18.65,11.95,13.25,8.2,9.6,5.5,6.75,3.95,4.8,3.05,3.4,2.4,16400.95
13,1654660680,106.2,20.15,83.25,84.15,63.15,65.2,46.55,49.7,33.6,37.4,23.8,27.7,16.6,20.25,11.4,14.6,7.8,10.45,5.35,7.45,3.85,5.35,2.95,3.8,2.4,16389.75
14,1654660740,107.8,20.08,81.5,85.55,61.65,66.3,45.35,50.65,32.5,38.2,23.0,28.2,16.05,20.8,10.85,15.0,7.55,10.85,5.15,7.65,3.8,5.5,2.9,3.95,2.35,16385.5
15,1654660800,104.4,20.08,84.2,82.55,63.65,63.6,46.8,48.75,33.85,36.55,23.85,27.1,16.6,19.9,11.3,14.3,7.7,10.3,5.25,7.25,3.8,5.25,2.95,3.75,2.45,16393.75
16,1654660860,109.0,20.08,80.5,86.55,60.8,67.25,44.55,51.5,32.15,38.8,22.75,28.8,15.8,21.15,10.8,15.2,7.4,11.0,5.05,7.75,3.7,5.55,2.9,4.0,2.4,16384.7
17,1654660920,109.7,20.1,80.1,87.25,60.0,68.0,43.95,51.95,31.4,39.15,21.95,29.2,15.2,21.5,10.35,15.55,7.0,11.15,4.75,8.0,3.5,5.8,2.8,4.15,2.35,16381.2
18,1654660980,106.8,20.1,82.2,85.0,61.85,66.05,45.15,50.6,32.4,38.1,22.7,28.35,15.7,20.9,10.6,15.1,7.15,11.0,4.9,7.75,3.6,5.65,2.8,4.0,2.3,16386.85
19,1654661040,109.25,20.12,80.35,86.75,60.3,67.75,43.95,51.8,31.55,39.0,22.05,29.2,15.4,21.45,10.4,15.6,7.05,11.25,4.8,7.95,3.5,5.7,2.8,4.1,2.3,16383.15
20,1654661100,109.55,20.12,79.8,87.4,59.6,68.05,43.4,52.05,30.9,39.25,21.5,29.2,14.85,21.55,10.0,15.7,6.8,11.4,4.7,8.05,3.45,5.75,2.75,4.15,2.3,16380.15
21,1654661160,115.45,20.14,74.4,92.0,55.15,72.0,39.8,55.1,28.15,41.95,19.55,31.35,13.4,23.2,9.15,16.95,6.3,12.4,4.5,8.85,3.4,6.35,2.75,4.5,2.3,16368.45
22,1654661220,116.0,20.16,74.8,92.45,55.65,72.4,40.25,55.65,28.65,42.25,20.0,31.55,13.8,23.3,9.4,17.0,6.5,12.4,4.6,8.65,3.5,6.15,2.85,4.4,2.45,16372.9
23,1654661280,117.55,20.18,74.1,94.0,55.05,74.05,39.85,56.9,28.2,43.25,19.7,32.35,13.55,23.9,9.25,17.45,6.4,12.75,4.55,8.95,3.45,6.35,2.75,4.45,2.45,16366.5
24,1654661340,123.3,20.23,70.95,98.55,52.7,77.6,38.1,60.1,27.05,45.7,18.9,34.2,13.15,25.65,8.9,18.8,6.2,13.65,4.45,9.65,3.4,6.95,2.8,4.9,2.4,16359.6
25,1654661400,119.75,20.26,73.75,95.85,54.65,75.55,39.6,58.25,28.3,44.1,19.8,33.35,13.7,24.6,9.4,18.1,6.5,13.15,4.55,9.35,3.45,6.75,2.75,4.8,2.4,16362.05
26,1654661460,125.3,20.25,70.35,100.45,52.35,79.0,37.8,60.85,27.05,46.35,18.8,34.65,13.2,25.65,9.05,18.85,6.25,13.7,4.5,9.6,3.45,6.85,2.75,4.9,2.4,16356.3
27,1654661520,120.45,20.24,73.5,96.1,54.85,75.6,40.05,58.2,28.55,43.95,20.15,33.05,13.95,24.4,9.5,17.8,6.6,12.9,4.75,9.1,3.55,6.6,2.75,4.7,2.45,16366.5
28,1654661580,119.35,20.21,73.95,95.2,55.15,74.5,40.2,57.1,28.8,43.1,20.2,32.15,14.05,23.55,9.55,17.0,6.7,12.15,4.7,8.45,3.5,6.1,2.75,4.35,2.45,16369.6
29,1654661640,121.8,20.2,72.85,97.05,54.5,76.1,39.45,58.35,28.4,44.1,20.1,33.05,13.9,24.3,9.6,17.65,6.75,12.75,4.7,8.9,3.55,6.35,2.8,4.55,2.45,16364.95
30,1654661700,121.4,20.21,72.65,96.95,54.2,75.85,39.5,58.1,28.35,44.0,20.0,32.85,13.9,24.2,9.6,17.65,6.65,12.65,4.65,8.9,3.5,6.4,2.8,4.55,2.4,16362.35
31,1654661760,123.6,20.24,71.4,98.8,53.05,77.8,38.65,59.9,27.7,45.55,19.45,34.25,13.5,25.55,9.3,18.55,6.5,13.5,4.6,9.5,3.5,6.85,2.8,4.9,2.4,16356.1
32,1654661820,119.85,20.23,73.7,95.6,54.9,74.95,39.85,57.6,28.55,43.65,20.05,33.0,13.95,24.5,9.5,17.9,6.7,13.0,4.7,9.25,3.5,6.65,2.85,4.8,2.5,16364.55
33,1654661880,119.0,20.59,73.6,95.15,54.95,74.45,39.8,57.1,28.4,43.2,19.95,32.4,13.9,24.05,9.55,17.6,6.7,12.65,4.65,8.95,3.5,6.4,2.8,4.6,2.5,16365.75
34,1654661940,119.8,20.21,72.85,95.4,54.3,74.9,39.45,57.7,28.15,43.75,19.65,32.9,13.7,24.4,9.4,17.8,6.6,12.95,4.65,9.15,3.55,6.55,2.8,4.65,2.5,16365.85
35,1654662000,116.85,20.21,74.4,93.2,55.35,72.75,40.05,55.85,28.85,42.4,20.3,31.75,14.0,23.5,9.6,17.2,6.7,12.5,4.7,8.95,3.6,6.4,2.85,4.45,2.45,16369.75
36,1654662060,112.35,20.18,76.55,89.25,57.2,69.25,41.35,52.9,29.7,40.0,20.8,29.8,14.45,21.95,9.9,15.9,6.8,11.5,4.75,8.15,3.6,5.9,2.9,4.2,2.5,16379.4
37,1654662120,115.0,20.54,74.4,91.85,55.5,71.55,40.3,54.8,28.75,41.3,20.2,30.9,14.05,22.75,9.65,16.6,6.8,11.95,4.8,8.35,3.65,5.9,2.9,4.3,2.55,16373.65
38,1654662180,117.65,20.55,73.15,93.45,54.4,73.25,39.5,56.05,28.0,42.6,19.8,31.95,13.75,23.6,9.5,17.05,6.65,12.35,4.75,8.7,3.65,6.2,2.85,4.5,2.5,16371.6
39,1654662240,121.45,20.55,70.8,96.75,52.6,75.95,38.2,58.3,27.25,44.2,19.15,33.0,13.35,24.4,9.2,17.7,6.5,12.85,4.7,9.0,3.55,6.5,2.85,4.6,2.5,16362.7
40,1654662300,122.35,20.54,70.65,97.6,52.3,76.3,37.95,58.85,26.95,44.4,18.9,33.35,13.15,24.55,9.1,17.9,6.35,12.85,4.55,9.1,3.5,6.4,2.8,4.65,2.5,16358.2
41,1654662360,121.9,20.53,70.25,97.55,52.4,76.3,37.75,58.85,26.9,44.7,18.85,33.35,13.05,24.55,9.0,17.9,6.35,12.8,4.6,9.1,3.45,6.4,2.75,4.6,2.45,16358.2
42,1654662420,121.4,20.49,71.9,97.0,53.7,76.45,38.95,58.75,27.75,44.55,19.3,33.4,13.4,24.55,9.15,17.85,6.45,12.85,4.6,9.1,3.5,6.4,2.75,4.6,2.45,16358.65
43,1654662480,126.3,20.51,65.2,100.55,48.0,79.1,34.45,60.85,24.3,46.25,16.95,34.4,11.9,25.5,8.25,18.3,6.0,13.3,4.5,9.3,3.4,6.6,2.75,4.7,2.45,16350.75
44,1654662540,135.7,20.59,58.9,108.95,43.25,85.7,30.85,66.3,21.9,50.25,15.5,37.6,10.85,27.75,7.7,20.4,5.75,14.6,4.3,10.2,3.35,7.15,2.8,5.05,2.4,16339.3
45,1654662600,136.9,20.59,59.25,109.65,43.8,86.7,31.5,66.85,22.55,50.8,15.9,37.95,11.15,27.85,7.8,20.1,5.7,14.4,4.35,10.0,3.4,7.0,2.85,5.0,2.4,16334.4
46,1654662660,135.75,20.59,60.6,108.75,44.7,85.95,32.05,66.05,22.85,50.2,16.0,37.6,11.2,27.65,7.7,20.05,5.45,14.4,4.05,10.0,3.25,7.05,2.65,4.95,2.35,16334.9
47,1654662720,132.6,20.63,61.95,106.15,45.8,83.55,33.0,64.2,23.4,48.55,16.4,36.25,11.4,26.6,7.9,19.35,5.65,14.0,4.2,9.8,3.3,7.0,2.65,4.9,2.35,16339.7
48,1654662780,133.3,20.63,61.6,106.8,45.3,84.05,32.45,64.8,22.9,48.9,16.15,36.55,11.25,26.9,7.85,19.55,5.65,14.15,4.2,9.8,3.25,7.0,2.7,4.95,2.35,16340.9
49,1654662840,137.1,20.64,58.45,110.1,43.05,86.4,30.7,66.9,21.75,50.8,15.25,38.7,10.65,28.7,7.45,20.85,5.4,15.15,4.05,10.7,3.15,7.55,2.65,5.45,2.3,16333.75
50,1654662900,150.9,20.65,48.6,122.05,34.9,96.65,24.25,75.6,16.95,57.75,11.65,43.55,8.15,32.25,5.75,23.6,4.4,17.0,3.4,11.9,2.75,8.4,2.35,6.0,2.15,16310.55
51,1654662960,157.85,20.59,41.75,127.5,29.6,101.35,20.05,79.45,13.85,60.55,9.6,45.65,6.7,33.75,4.9,24.8,3.85,17.95,3.1,12.6,2.65,8.8,2.3,6.2,2.05,16296.9
52,1654663020,140.2,20.58,48.85,111.6,35.1,87.3,24.05,66.0,16.6,50.2,11.4,36.65,7.9,26.7,5.6,19.15,4.25,13.65,3.3,9.45,2.7,6.5,2.35,4.65,2.15,16323.9
53,1654663080,128.85,20.49,55.15,101.95,39.95,79.15,28.1,61.7,19.6,46.2,13.5,34.4,9.35,25.1,6.55,18.2,4.85,13.0,3.65,8.9,2.85,6.25,2.4,4.45,2.15,16342.7
54,1654663140,124.7,20.48,58.6,97.9,42.45,76.1,29.8,58.05,20.55,42.95,14.2,31.6,9.75,22.85,6.7,16.35,4.9,11.5,3.7,7.8,2.9,5.4,2.45,3.9,2.15,16350.4
55,1654663200,121.05,20.46,58.75,95.35,42.4,73.75,29.5,55.8,20.3,41.35,13.8,30.45,9.4,21.95,6.45,15.75,4.8,11.05,3.6,7.65,2.85,5.4,2.45,3.9,2.2,16351.9
56,1654663260,105.85,20.34,66.9,81.9,49.0,62.45,34.6,46.4,24.05,33.75,16.4,24.55,11.15,17.35,7.6,12.25,5.45,8.75,4.0,6.05,3.1,4.2,2.55,3.05,2.3,16376.35
57,1654663320,103.4,20.26,68.85,80.25,50.3,61.0,35.3,45.2,24.15,33.05,16.45,24.0,11.1,17.05,7.6,11.95,5.4,8.35,4.0,5.75,3.05,4.05,2.55,3.0,2.3,16384.65
58,1654663380,106.05,20.32,67.9,82.5,49.55,63.0,34.9,47.35,23.9,34.7,16.35,25.2,10.95,18.05,7.3,12.75,5.2,9.0,3.85,6.15,2.95,4.35,2.45,3.05,2.25,16384.35
59,1654663440,108.6,20.36,63.2,84.6,45.55,64.9,31.6,48.8,21.45,35.95,14.5,26.0,9.6,18.9,6.4,13.45,4.6,9.65,3.45,6.8,2.7,4.85,2.25,3.55,2.05,16375.15
