	epoch	option_close	vix_close	nifty_close
0	1655178300	193.85	21.91	15738.35
1	1655178360	194.2	21.93	15741.75
2	1655178420	183.7	21.84	15765.15
3	1655178480	192.15	21.97	15745.6
4	1655178540	197.4	22.07	15738.1
5	1655178600	198.35	22.1	15736.9
6	1655178660	198.0	22.1	15739.75
7	1655178720	200.8	22.07	15731.3
8	1655178780	206.55	22.03	15719.6
9	1655178840	212.2	22.07	15708.55
10	1655178900	219.05	22.1	15699.35
11	1655178960	221.35	22.15	15700.7
12	1655179020	224.95	22.16	15693.7
13	1655179080	231.45	22.18	15676.45
14	1655179140	240.0	22.22	15668.7
15	1655179200	236.95	22.27	15670.1
16	1655179260	227.2	22.19	15682.75
17	1655179320	224.85	22.14	15690.6
18	1655179380	218.1	22.09	15701.35
19	1655179440	214.0	22.1	15706.1
20	1655179500	201.2	22.04	15723.8
21	1655179560	201.85	22.05	15721.65
22	1655179620	204.85	22.05	15718.05
23	1655179680	194.55	22.04	15731.7
24	1655179740	196.25	22.04	15729.55
25	1655179800	205.0	22.04	15723.7
26	1655179860	194.85	22.31	15737.1
27	1655179920	198.0	22.33	15731.6
28	1655179980	199.15	22.35	15730.4
29	1655180040	191.15	22.34	15740.85
30	1655180100	182.7	22.31	15754.25
31	1655180160	185.55	22.32	15754.95
32	1655180220	177.3	22.29	15764.95
33	1655180280	177.45	22.33	15763.8
34	1655180340	175.6	22.32	15769.8
35	1655180400	177.1	22.35	15770.8
36	1655180460	172.4	22.3	15781.15
37	1655180520	182.3	22.36	15765.95
38	1655180580	185.6	22.4	15758.45
39	1655180640	185.85	22.43	15752.85
40	1655180700	190.0	22.46	15749.8
41	1655180760	189.4	22.47	15749.5
42	1655180820	192.15	22.5	15747.7
43	1655180880	185.95	22.5	15756.15
44	1655180940	183.35	22.46	15759.85
45	1655181000	182.05	22.44	15762.6
46	1655181060	184.1	22.41	15759.25
47	1655181120	181.45	22.4	15763.6
48	1655181180	183.0	22.39	15763.0
49	1655181240	179.5	22.38	15766.25
50	1655181300	181.05	22.39	15765.6
51	1655181360	187.7	22.37	15753.35
52	1655181420	185.35	22.38	15754.9
53	1655181480	183.15	22.4	15759.9
54	1655181540	182.35	22.39	15761.35
55	1655181600	186.9	22.43	15755.55
56	1655181660	188.9	22.41	15750.1
57	1655181720	185.65	22.4	15753.45
58	1655181780	182.65	22.39	15758.95
59	1655181840	183.1	22.38	15758.15
60	1655181900	181.0	22.37	15766.0
61	1655181960	182.4	22.38	15763.9
62	1655182020	177.25	22.38	15771.95
63	1655182080	176.05	22.38	15773.65
64	1655182140	177.1	22.38	15772.45
65	1655182200	179.5	22.36	15765.65
66	1655182260	180.65	22.35	15764.4
67	1655182320	183.5	22.34	15759.6
68	1655182380	182.4	22.33	15760.6
69	1655182440	177.4	22.37	15770.45
70	1655182500	171.85	22.35	15779.35
71	1655182560	175.3	22.34	15776.7
72	1655182620	168.45	22.33	15787.6
73	1655182680	168.25	22.33	15787.75
74	1655182740	169.15	22.31	15784.85
75	1655182800	165.65	22.3	15790.45
76	1655182860	166.7	22.3	15791.05
77	1655182920	164.6	22.27	15794.0
78	1655182980	160.7	22.22	15801.5
79	1655183040	157.3	22.18	15807.15
80	1655183100	156.95	22.15	15809.45
81	1655183160	155.75	22.12	15811.5
82	1655183220	155.0	22.12	15812.5
83	1655183280	156.15	22.11	15811.35
84	1655183340	160.3	22.14	15804.65
85	1655183400	166.3	22.16	15792.65
86	1655183460	164.35	22.18	15794.35
87	1655183520	162.7	22.16	15797.2
88	1655183580	154.55	22.14	15813.7
89	1655183640	155.95	22.13	15810.9
90	1655183700	160.35	22.13	15805.2
91	1655183760	160.0	22.14	15806.4
92	1655183820	161.0	22.15	15805.65
93	1655183880	158.0	22.14	15806.95
94	1655183940	155.8	22.13	15810.2
95	1655184000	161.0	22.15	15803.7
96	1655184060	161.2	22.18	15803.45
97	1655184120	159.9	22.18	15806.2
98	1655184180	155.4	22.15	15812.4
99	1655184240	154.65	22.1	15815.45
100	1655184300	156.35	22.12	15814.05
101	1655184360	155.15	22.11	15814.25
102	1655184420	156.65	22.13	15811.85
103	1655184480	152.95	22.1	15816.5
104	1655184540	155.9	22.11	15813.5
