	epoch	option_close	vix_close	nifty_close
0	1655178300	11.1	21.91	15738.35
1	1655178360	10.85	21.93	15741.75
2	1655178420	9.65	21.84	15765.15
3	1655178480	10.4	21.97	15745.6
4	1655178540	11.1	22.07	15738.1
5	1655178600	11.3	22.1	15736.9
6	1655178660	11.05	22.1	15739.75
7	1655178720	11.1	22.07	15731.3
8	1655178780	11.2	22.03	15719.6
9	1655178840	11.45	22.07	15708.55
10	1655178900	11.75	22.1	15699.35
11	1655178960	11.9	22.15	15700.7
12	1655179020	11.85	22.16	15693.7
13	1655179080	12.5	22.18	15676.45
14	1655179140	13.4	22.22	15668.7
15	1655179200	13.05	22.27	15670.1
16	1655179260	12.35	22.19	15682.75
17	1655179320	11.85	22.14	15690.6
18	1655179380	11.15	22.09	15701.35
19	1655179440	10.85	22.1	15706.1
20	1655179500	9.7	22.04	15723.8
21	1655179560	10.2	22.05	15721.65
22	1655179620	10.2	22.05	15718.05
23	1655179680	9.7	22.04	15731.7
24	1655179740	9.6	22.04	15729.55
25	1655179800	10.15	22.04	15723.7
26	1655179860	9.2	22.31	15737.1
27	1655179920	9.6	22.33	15731.6
28	1655179980	9.65	22.35	15730.4
29	1655180040	9.25	22.34	15740.85
30	1655180100	8.45	22.31	15754.25
31	1655180160	8.3	22.32	15754.95
32	1655180220	7.6	22.29	15764.95
33	1655180280	7.8	22.33	15763.8
34	1655180340	7.75	22.32	15769.8
35	1655180400	7.95	22.35	15770.8
36	1655180460	7.45	22.3	15781.15
37	1655180520	8.15	22.36	15765.95
38	1655180580	8.8	22.4	15758.45
39	1655180640	9.2	22.43	15752.85
40	1655180700	9.45	22.46	15749.8
41	1655180760	9.45	22.47	15749.5
42	1655180820	9.6	22.5	15747.7
43	1655180880	8.9	22.5	15756.15
44	1655180940	8.85	22.46	15759.85
45	1655181000	8.9	22.44	15762.6
46	1655181060	9.2	22.41	15759.25
47	1655181120	8.75	22.4	15763.6
48	1655181180	8.85	22.39	15763.0
49	1655181240	8.5	22.38	15766.25
50	1655181300	8.55	22.39	15765.6
51	1655181360	9.15	22.37	15753.35
52	1655181420	9.15	22.38	15754.9
53	1655181480	8.95	22.4	15759.9
54	1655181540	8.9	22.39	15761.35
55	1655181600	9.15	22.43	15755.55
