,epoch,PE_16250,vix_close,CE_16300,PE_16200,CE_16350,PE_16150,CE_16400,PE_16100,CE_16450,PE_16050,CE_16500,PE_16000,CE_16550,PE_15950,CE_16600,PE_15900,CE_16650,PE_15850,CE_16700,PE_15800,CE_16750,PE_15750,CE_16800,PE_15700,CE_16850,nifty_close
0,1654746300,45.4,19.52,38.0,28.05,20.15,16.05,9.6,8.5,4.8,4.15,3.05,2.35,2.25,1.35,1.7,0.95,1.45,0.8,1.3,0.7,1.2,0.6,1.1,0.6,0.95,16264.15
1,1654746360,49.65,19.65,33.6,30.85,17.9,17.5,9.05,9.2,5.0,4.55,3.25,2.6,2.25,1.4,1.6,1.0,1.4,0.7,1.25,0.65,1.15,0.55,1.05,0.55,1.05,16253.3
2,1654746420,44.65,19.62,36.6,27.0,19.85,14.85,10.2,7.55,5.45,3.8,3.35,2.1,2.2,1.3,1.65,1.0,1.45,0.75,1.25,0.6,1.15,0.55,1.1,0.55,1.05,16268.15
3,1654746480,43.55,19.54,39.2,26.45,21.9,14.55,11.5,7.7,6.15,3.75,3.75,1.95,2.3,1.2,1.7,0.95,1.45,0.7,1.25,0.65,1.2,0.55,1.1,0.55,1.05,16273.45
4,1654746540,39.3,19.69,42.25,23.6,23.25,12.8,12.15,6.85,6.3,3.45,3.6,2.0,2.2,1.25,1.7,0.95,1.45,0.75,1.25,0.65,1.15,0.55,1.1,0.5,1.05,16286.2
5,1654746600,36.9,19.62,43.9,21.85,24.2,11.75,12.2,6.3,6.1,3.3,3.55,1.9,2.2,1.3,1.7,0.95,1.5,0.8,1.3,0.6,1.2,0.55,1.1,0.55,1.1,16292.6
6,1654746660,38.45,19.63,40.35,22.7,21.5,12.1,10.65,6.65,5.4,3.3,3.2,1.95,2.1,1.25,1.65,0.95,1.45,0.8,1.25,0.65,1.2,0.6,1.1,0.55,1.05,16285.15
7,1654746720,41.15,19.67,36.4,24.45,19.0,13.1,9.2,6.9,4.85,3.35,2.95,2.05,1.95,1.3,1.65,1.0,1.4,0.8,1.2,0.65,1.2,0.55,1.1,0.55,1.05,16274.1
8,1654746780,35.4,19.64,43.4,20.75,23.25,11.05,11.65,5.8,6.05,2.85,3.45,1.8,2.1,1.3,1.65,1.05,1.45,0.8,1.2,0.65,1.15,0.6,1.1,0.65,1.05,16291.4
9,1654746840,37.3,19.64,42.1,22.0,22.5,11.75,11.2,6.25,5.9,3.1,3.4,1.9,2.05,1.35,1.6,1.05,1.4,0.8,1.2,0.65,1.15,0.6,1.1,0.6,1.0,16289.85
10,1654746900,38.0,19.65,42.55,22.55,22.7,12.15,11.3,6.55,5.9,3.25,3.45,1.95,2.1,1.35,1.65,1.1,1.4,0.8,1.25,0.7,1.1,0.55,1.05,0.55,1.0,16288.5
11,1654746960,33.05,19.61,50.4,19.55,28.1,10.55,14.0,5.75,6.95,3.0,3.9,1.95,2.3,1.25,1.7,1.0,1.45,0.75,1.2,0.65,1.1,0.6,1.1,0.6,1.0,16306.25
