,epoch,PE_15850,vix_close,CE_15900,PE_15800,CE_15950,PE_15750,CE_16000,PE_15700,CE_16050,PE_15650,CE_16100,PE_15600,CE_16150,PE_15550,CE_16200,PE_15500,CE_16250,PE_15450,CE_16300,PE_15400,CE_16350,PE_15350,CE_16400,PE_15300,CE_16450,nifty_open,nifty_high,nifty_low,nifty_close,nifty_volume
10,1656302100,109.25,20.95,144.05,91.0,118.45,75.0,95.45,61.95,75.5,51.6,58.6,42.85,44.4,35.45,33.15,29.6,24.15,24.4,17.7,20.55,12.95,17.15,9.55,14.35,7.2,15895.65,15911.3,15895.65,15911.3,0
11,1656302160,108.5,20.94,150.5,90.55,124.0,74.75,100.25,61.75,79.35,51.25,62.0,42.5,47.15,35.35,35.35,29.25,25.9,24.1,18.95,20.25,14.05,16.85,10.25,14.0,7.7,15910.5,15923.7,15909.65,15920.2,0
12,1656302220,108.0,21.0,153.55,89.65,127.0,74.45,102.65,61.7,81.8,51.35,63.5,42.9,48.5,35.5,36.4,29.55,26.8,24.45,19.65,20.55,14.35,17.05,10.5,14.2,7.85,15919.6,15926.5,15911.9,15922.7,0
13,1656302280,109.8,21.06,153.4,91.1,126.5,75.65,103.0,62.5,82.15,52.1,63.75,43.35,48.8,36.0,36.8,29.9,27.15,24.65,19.9,20.7,14.6,17.15,10.7,14.25,7.9,15923.55,15925.25,15915.15,15919.1,0
14,1656302340,113.55,21.06,143.65,94.5,118.55,77.9,95.5,64.45,76.0,53.5,58.95,44.35,45.05,36.75,33.6,30.45,24.7,25.0,18.1,20.95,13.2,17.25,9.7,14.4,7.25,15919.85,15919.85,15901.9,15901.9,0
15,1656302400,116.85,21.03,135.45,97.45,110.75,80.6,89.3,66.3,70.7,55.25,54.75,45.75,41.3,37.65,30.85,31.2,22.65,25.7,16.25,21.3,11.75,17.65,8.6,14.55,6.5,15902.6,15909.5,15892.1,15893.5,0
16,1656302460,115.0,21.01,139.5,95.55,114.5,78.9,92.2,65.0,72.9,53.95,56.5,44.75,42.9,37.0,32.0,30.5,23.5,25.1,17.0,21.0,12.15,17.4,9.0,14.4,6.85,15893.15,15900.0,15892.55,15895.1,0
17,1656302520,107.25,20.99,148.95,88.9,122.7,73.35,99.5,60.45,79.1,50.15,61.65,41.8,47.1,34.4,35.55,28.6,26.4,23.6,19.2,19.7,13.95,16.5,10.25,13.8,7.7,15896.15,15912.65,15894.45,15912.6,0
18,1656302580,108.4,20.99,148.95,89.9,122.85,74.25,99.7,61.25,79.2,51.0,61.5,42.25,46.95,34.85,35.45,28.85,26.15,23.75,19.0,19.95,13.8,16.65,10.1,13.85,7.55,15912.0,15918.65,15909.25,15914.25,0
19,1656302640,107.5,20.99,148.9,88.9,122.8,73.5,99.5,60.7,78.75,50.15,61.3,41.7,46.8,34.55,35.3,28.7,26.15,23.5,19.0,19.7,13.8,16.45,10.1,13.8,7.6,15914.0,15919.65,15913.55,15915.2,0
