,epoch,PE_16100,vix_close,CE_16150,PE_16050,CE_16200,PE_16000,CE_16250,PE_15950,CE_16300,PE_15900,CE_16350,PE_15850,CE_16400,PE_15800,CE_16450,PE_15750,CE_16500,PE_15700,CE_16550,PE_15650,CE_16600,PE_15600,CE_16650,PE_15550,CE_16700,nifty_open,nifty_high,nifty_low,nifty_close,nifty_volume
13,1657684680,75.1,18.32,67.35,54.2,47.55,38.45,32.45,26.7,21.0,17.9,13.05,11.8,8.05,7.75,4.95,4.95,3.2,3.55,2.15,2.55,1.7,2.0,1.45,1.55,1.2,16125.8,16125.8,16118.2,16118.2,0
14,1657684740,73.65,18.32,67.2,53.4,47.5,37.75,32.3,26.25,20.9,17.6,13.0,11.6,7.95,7.65,4.85,4.95,3.15,3.55,2.05,2.6,1.6,2.05,1.25,1.65,1.1,16118.9,16119.0,16114.45,16119.0,0
15,1657684800,71.45,18.33,69.35,51.45,49.1,36.25,33.6,25.2,21.75,16.85,13.5,11.0,8.25,7.25,5.0,4.65,3.25,3.4,2.05,2.6,1.6,1.95,1.3,1.55,1.15,16118.15,16126.45,16118.05,16125.3,0
16,1657684860,71.2,18.32,68.45,51.0,48.35,36.1,32.9,24.75,21.25,16.5,13.15,10.8,8.05,7.1,4.85,4.6,3.15,3.35,2.0,2.55,1.6,1.9,1.3,1.5,1.05,16126.25,16126.35,16122.6,16124.0,0
17,1657684920,74.1,18.33,65.1,52.75,45.3,37.3,30.6,25.5,19.85,16.95,12.3,10.85,7.6,7.25,4.65,4.75,3.05,3.45,1.95,2.65,1.55,2.0,1.25,1.6,1.05,16123.85,16123.85,16117.4,16117.75,0
18,1657684980,72.95,18.31,66.15,52.2,46.35,37.05,31.35,25.3,20.15,16.8,12.5,10.9,7.65,7.1,4.65,4.65,2.95,3.4,1.95,2.6,1.5,1.9,1.25,1.5,1.05,16117.85,16120.45,16117.2,16118.05,0
19,1657685040,74.65,18.31,63.9,53.95,44.65,38.25,30.05,26.25,19.35,17.55,11.9,11.35,7.35,7.5,4.45,4.9,2.85,3.5,1.85,2.65,1.45,2.0,1.2,1.6,1.05,16118.3,16118.75,16112.35,16113.55,0
20,1657685100,74.25,18.31,64.8,53.65,45.35,37.9,30.5,26.0,19.7,17.3,12.05,11.35,7.4,7.4,4.5,4.9,2.8,3.55,1.85,2.7,1.4,2.0,1.25,1.6,1.05,16113.45,16115.2,16111.35,16114.4,0
21,1657685160,74.55,18.28,63.9,53.8,44.75,37.9,30.15,26.05,19.4,17.35,11.9,11.35,7.35,7.45,4.35,4.9,2.8,3.5,1.8,2.65,1.4,2.05,1.2,1.55,1.0,16114.75,16116.25,16111.5,16112.65,0
22,1657685220,72.7,18.28,65.3,52.45,45.65,37.1,30.75,25.5,19.9,17.15,12.25,11.1,7.35,7.35,4.45,4.85,2.8,3.45,1.8,2.6,1.4,2.0,1.25,1.6,1.05,16113.45,16117.5,16113.0,16115.85,0
23,1657685280,72.0,18.26,65.85,51.7,45.9,36.5,30.85,25.15,19.8,16.8,12.1,10.85,7.4,7.25,4.45,4.7,2.75,3.4,1.8,2.55,1.45,2.0,1.2,1.55,1.05,16116.6,16121.3,16116.6,16118.9,0
24,1657685340,72.8,18.26,66.0,52.3,46.1,37.05,31.0,25.55,19.9,17.0,12.3,11.1,7.5,7.35,4.5,4.85,2.85,3.5,1.85,2.6,1.4,2.0,1.2,1.65,1.0,16118.15,16124.65,16116.45,16118.2,0
25,1657685400,74.95,18.28,63.85,53.85,44.5,38.15,29.85,26.4,19.05,17.55,11.5,11.4,7.05,7.6,4.25,4.95,2.75,3.6,1.8,2.65,1.45,2.05,1.25,1.65,1.0,16118.1,16118.7,16111.45,16111.45,0
26,1657685460,74.7,18.28,63.4,53.8,44.0,38.05,29.65,26.35,18.95,17.65,11.55,11.65,7.1,7.7,4.25,5.0,2.7,3.65,1.8,2.65,1.4,2.1,1.2,1.7,1.0,16112.4,16115.15,16110.3,16112.65,0
27,1657685520,73.55,18.28,64.8,53.0,45.3,37.4,30.45,25.85,19.5,17.35,11.95,11.45,7.25,7.55,4.35,4.95,2.7,3.6,1.8,2.65,1.45,2.15,1.25,1.65,1.0,16111.7,16114.3,16108.8,16114.15,0
28,1657685580,71.05,18.25,66.5,51.25,46.4,36.2,31.2,25.1,19.9,16.8,12.05,11.05,7.3,7.45,4.4,4.9,2.75,3.55,1.8,2.65,1.35,2.1,1.2,1.65,1.0,16114.95,16121.4,16114.95,16119.65,0
29,1657685640,71.1,18.23,67.3,51.1,47.05,36.2,31.6,24.95,20.4,16.7,12.4,10.95,7.45,7.3,4.45,4.85,2.7,3.5,1.8,2.7,1.4,2.1,1.2,1.65,1.05,16120.4,16124.95,16119.85,16123.9,0
30,1657685700,70.25,18.24,67.45,50.4,47.05,35.5,31.75,24.45,20.35,16.35,12.3,10.8,7.35,7.3,4.4,4.8,2.7,3.5,1.75,2.7,1.35,2.1,1.25,1.7,1.0,16124.05,16124.25,16117.8,16122.15,0
31,1657685760,70.25,18.24,67.6,50.45,47.25,35.65,31.85,24.6,20.45,16.5,12.4,10.75,7.45,7.25,4.45,4.85,2.75,3.5,1.8,2.7,1.45,2.15,1.2,1.65,1.05,16123.0,16127.8,16122.8,16125.4,0
32,1657685820,68.7,18.24,68.45,49.35,47.85,34.65,32.15,23.8,20.55,15.95,12.45,10.5,7.45,7.1,4.45,4.7,2.75,3.45,1.75,2.7,1.4,2.1,1.15,1.65,1.05,16125.2,16126.6,16123.65,16126.5,0
33,1657685880,68.95,18.24,68.9,49.45,48.0,34.85,32.3,23.95,20.65,16.05,12.55,10.5,7.5,7.0,4.45,4.7,2.75,3.5,1.75,2.65,1.4,2.1,1.15,1.65,1.0,16126.45,16129.2,16125.65,16127.25,0
34,1657685940,69.5,18.23,67.5,49.6,47.25,34.95,31.75,24.05,20.35,16.1,12.25,10.6,7.45,7.05,4.45,4.7,2.8,3.5,1.8,2.7,1.4,2.1,1.15,1.65,1.0,16127.95,16129.3,16126.0,16127.8,0
35,1657686000,70.15,18.23,66.95,50.2,46.55,35.25,31.2,24.25,19.9,16.3,12.1,10.7,7.3,7.15,4.35,4.8,2.7,3.55,1.7,2.75,1.35,2.1,1.15,1.65,1.0,16127.15,16127.65,16122.2,16123.9,0
36,1657686060,69.75,18.22,67.55,49.85,47.25,35.05,31.65,24.15,20.25,16.2,12.3,10.65,7.4,7.15,4.4,4.75,2.7,3.5,1.7,2.65,1.35,2.1,1.15,1.65,1.05,16123.7,16124.25,16119.25,16123.35,0
37,1657686120,71.2,18.22,66.1,50.8,46.05,35.85,30.75,24.7,19.6,16.5,11.8,10.85,7.1,7.25,4.25,4.85,2.65,3.5,1.65,2.65,1.35,2.1,1.15,1.65,1.0,16122.85,16125.65,16120.25,16120.7,0
