	epoch	option_close	vix_close	nifty_close
0	1656387900	23.25	21.38	15763.9
1	1656387960	25.85	21.43	15780.45
2	1656388020	24.55	21.39	15769.2
3	1656388080	23.4	21.39	15766.4
4	1656388140	24.1	21.42	15773.8
5	1656388200	21.0	21.38	15745.85
6	1656388260	20.65	21.44	15738.85
7	1656388320	20.45	21.5	15745.15
8	1656388380	20.5	21.54	15744.5
9	1656388440	20.5	21.66	15742.6
10	1656388500	19.9	21.67	15735.3
11	1656388560	19.95	21.65	15735.55
12	1656388620	19.7	21.66	15732.65
13	1656388680	18.85	21.68	15727.0
14	1656388740	18.65	21.65	15724.75
15	1656388800	19.3	21.62	15729.75
16	1656388860	19.0	21.62	15727.65
17	1656388920	19.1	21.61	15730.35
18	1656388980	19.45	21.63	15735.0
19	1656389040	20.2	21.57	15751.25
20	1656389100	20.65	21.5	15758.35
21	1656389160	20.1	21.48	15757.2
22	1656389220	19.9	21.48	15751.1
23	1656389280	19.8	21.56	15749.75
24	1656389340	19.5	21.56	15745.3
25	1656389400	18.9	21.56	15742.8
26	1656389460	18.75	21.56	15737.8
27	1656389520	19.0	21.58	15737.5
28	1656389580	19.3	21.57	15743.1
29	1656389640	19.4	21.56	15745.45
30	1656389700	19.05	21.57	15745.8
31	1656389760	19.25	21.57	15747.85
32	1656389820	18.65	21.58	15745.15
33	1656389880	18.95	21.57	15748.0
34	1656389940	18.6	21.57	15743.6
35	1656390000	18.7	21.57	15745.6
36	1656390060	19.0	21.54	15748.6
37	1656390120	17.8	21.51	15737.95
38	1656390180	16.85	21.51	15725.65
39	1656390240	17.1	21.57	15723.2
40	1656390300	17.15	21.55	15723.6
41	1656390360	17.1	21.58	15724.6
42	1656390420	16.6	21.59	15722.8
43	1656390480	16.0	21.58	15715.65
44	1656390540	16.25	21.58	15716.85
45	1656390600	16.45	21.6	15719.9
46	1656390660	16.1	21.62	15716.85
47	1656390720	15.8	21.61	15715.4
48	1656390780	16.2	21.62	15717.45
49	1656390840	17.3	21.55	15730.95
50	1656390900	17.3	21.58	15726.3
51	1656390960	17.35	21.57	15731.4
52	1656391020	17.1	21.57	15730.5
53	1656391080	17.75	21.55	15738.3
54	1656391140	16.95	21.59	15728.85
55	1656391200	16.7	21.64	15724.8
56	1656391260	16.5	21.66	15725.55
57	1656391320	16.45	21.65	15724.7
58	1656391380	16.3	21.65	15724.55
59	1656391440	15.9	21.64	15718.35
60	1656391500	15.9	21.64	15718.25
61	1656391560	16.4	21.64	15723.9
