	epoch	option_close	vix_close	nifty_close
0	1655783100	2025.0	21.92	15467.55
1	1655783160	2025.0	21.83	15455.3
2	1655783220	2025.0	21.83	15456.0
3	1655783280	2025.0	21.75	15474.95
4	1655783340	2025.0	21.71	15480.35
5	1655783400	2025.0	21.74	15480.75
6	1655783460	2025.0	21.77	15470.95
7	1655783520	2025.0	21.81	15457.9
8	1655783580	2025.0	21.83	15466.1
9	1655783640	2025.0	21.76	15457.65
10	1655783700	2025.0	21.79	15467.75
11	1655783760	2025.0	21.82	15451.05
12	1655783820	2025.0	21.78	15438.45
13	1655783880	2025.0	21.76	15439.4
14	1655783940	2025.0	21.82	15438.7
15	1655784000	2025.0	21.82	15426.15
16	1655784060	2025.0	21.81	15429.9
17	1655784120	2025.0	21.82	15438.8
18	1655784180	2025.0	21.72	15460.1
19	1655784240	2025.0	21.69	15460.2
20	1655784300	2025.0	21.68	15468.8
21	1655784360	2025.0	21.64	15466.4
22	1655784420	2025.0	21.65	15461.85
23	1655784480	2025.0	21.64	15468.15
24	1655784540	2025.0	21.64	15461.7
25	1655784600	2025.0	21.62	15461.4
26	1655784660	2025.0	21.65	15464.85
27	1655784720	2025.0	21.63	15467.45
28	1655784780	2025.0	21.65	15468.3
29	1655784840	2025.0	21.65	15473.15
30	1655784900	2025.0	21.59	15480.5
31	1655784960	2025.0	21.55	15491.0
32	1655785020	2025.0	21.51	15502.85
33	1655785080	2025.0	21.5	15511.0
34	1655785140	2025.0	21.46	15515.6
35	1655785200	2025.0	21.48	15514.3
36	1655785260	2025.0	21.51	15529.45
37	1655785320	2025.0	21.49	15528.85
38	1655785380	2025.0	21.47	15530.9
39	1655785440	2025.0	21.45	15526.25
40	1655785500	2025.0	21.43	15528.45
41	1655785560	1850.5	21.41	15542.6
42	1655785620	1850.5	21.44	15544.95
43	1655785680	1850.5	21.44	15541.55
44	1655785740	1850.5	21.41	15541.7
45	1655785800	1850.5	21.39	15550.15
46	1655785860	1850.5	21.4	15547.4
47	1655785920	1850.5	21.39	15557.25
48	1655785980	1850.5	21.38	15558.6
49	1655786100	1850.5	21.35	15561.35
50	1655786220	1850.5	21.38	15550.6
51	1655786280	1850.5	21.34	15545.0
52	1655786340	1850.5	21.33	15546.55
53	1655786400	1850.5	21.31	15560.4
54	1655786460	1850.5	21.32	15563.65
55	1655786520	1850.5	21.36	15550.85
56	1655786580	1850.5	21.35	15554.7
57	1655786700	1850.5	21.33	15557.5
58	1655787000	1850.5	21.36	15560.2
59	1655787060	1850.5	21.36	15556.65
60	1655787120	1850.5	21.35	15553.8
61	1655787180	1850.5	21.36	15545.1
62	1655787240	1850.5	21.37	15551.2
63	1655787300	1850.5	21.39	15548.35
64	1655787360	1850.5	21.4	15550.4
65	1655787480	1850.5	21.44	15550.15
66	1655787600	1850.5	21.43	15558.7
67	1655787660	1850.5	21.43	15578.4
68	1655787720	1850.5	21.43	15581.8
69	1655787780	1850.5	21.43	15580.75
70	1655787840	1850.5	21.41	15576.4
71	1655787900	1850.5	21.42	15571.45
72	1655787960	1850.5	21.43	15577.0
73	1655788020	1850.5	21.45	15576.4
74	1655788140	1850.5	21.46	15575.65
75	1655788260	1850.5	21.46	15576.85
76	1655788440	1850.5	21.45	15584.75
77	1655788500	1850.5	21.42	15588.75
78	1655788560	1850.5	21.51	15587.55
79	1655788620	1850.5	21.51	15586.1
80	1655788860	1850.5	21.49	15587.2
81	1655788980	1850.5	21.48	15574.85
82	1655789040	1850.5	21.46	15578.9
