	epoch	option_close	vix_close	nifty_close
0	1655783100	92.55	21.92	15467.55
1	1655783160	98.55	21.83	15455.3
2	1655783220	98.9	21.83	15456.0
3	1655783280	91.95	21.75	15474.95
4	1655783340	90.45	21.71	15480.35
5	1655783400	91.3	21.74	15480.75
6	1655783460	93.65	21.77	15470.95
7	1655783520	98.5	21.81	15457.9
8	1655783580	95.35	21.83	15466.1
9	1655783640	97.8	21.76	15457.65
10	1655783700	96.45	21.79	15467.75
11	1655783760	100.7	21.82	15451.05
12	1655783820	105.0	21.78	15438.45
13	1655783880	104.1	21.76	15439.4
14	1655783940	105.5	21.82	15438.7
15	1655784000	109.5	21.82	15426.15
16	1655784060	107.05	21.81	15429.9
17	1655784120	104.25	21.82	15438.8
18	1655784180	94.35	21.72	15460.1
19	1655784240	94.65	21.69	15460.2
20	1655784300	90.75	21.68	15468.8
21	1655784360	92.5	21.64	15466.4
22	1655784420	94.5	21.65	15461.85
23	1655784480	93.5	21.64	15468.15
24	1655784540	94.4	21.64	15461.7
25	1655784600	94.75	21.62	15461.4
26	1655784660	93.2	21.65	15464.85
27	1655784720	91.75	21.63	15467.45
28	1655784780	92.1	21.65	15468.3
29	1655784840	89.3	21.65	15473.15
30	1655784900	83.8	21.59	15480.5
31	1655784960	79.6	21.55	15491.0
32	1655785020	77.6	21.51	15502.85
33	1655785080	74.7	21.5	15511.0
34	1655785140	74.3	21.46	15515.6
35	1655785200	74.0	21.48	15514.3
36	1655785260	69.8	21.51	15529.45
37	1655785320	69.85	21.49	15528.85
38	1655785380	69.55	21.47	15530.9
39	1655785440	69.8	21.45	15526.25
40	1655785500	69.7	21.43	15528.45
41	1655785560	65.45	21.41	15542.6
42	1655785620	66.4	21.44	15544.95
43	1655785680	67.35	21.44	15541.55
44	1655785740	67.0	21.41	15541.7
45	1655785800	65.3	21.39	15550.15
46	1655785860	66.35	21.4	15547.4
47	1655785920	62.95	21.39	15557.25
48	1655785980	64.3	21.38	15558.6
49	1655786040	63.1	21.35	15561.35
50	1655786100	65.3	21.38	15550.6
51	1655786160	66.6	21.34	15545.0
52	1655786220	66.0	21.33	15546.55
53	1655786280	62.15	21.31	15560.4
54	1655786340	61.2	21.32	15563.65
55	1655786400	64.0	21.36	15550.85
56	1655786460	64.65	21.35	15554.7
57	1655786520	62.7	21.33	15557.5
58	1655786580	62.15	21.36	15560.2
59	1655786640	62.35	21.36	15556.65
60	1655786700	63.8	21.35	15553.8
61	1655786760	65.25	21.36	15545.1
62	1655786820	64.1	21.37	15551.2
63	1655786880	65.25	21.39	15548.35
64	1655786940	64.5	21.4	15550.4
65	1655787000	64.85	21.44	15550.15
66	1655787060	61.75	21.43	15558.7
67	1655787120	56.4	21.43	15578.4
68	1655787180	55.65	21.43	15581.8
69	1655787240	55.7	21.43	15580.75
70	1655787300	57.05	21.41	15576.4
71	1655787360	57.55	21.42	15571.45
72	1655787420	56.55	21.43	15577.0
73	1655787480	57.3	21.45	15576.4
74	1655787540	57.45	21.46	15575.65
75	1655787600	57.4	21.46	15576.85
76	1655787660	56.35	21.45	15584.75
77	1655787720	54.95	21.42	15588.75
78	1655787780	55.7	21.51	15587.55
79	1655787840	56.1	21.51	15586.1
80	1655787900	56.1	21.49	15587.2
81	1655787960	57.9	21.48	15574.85
82	1655788020	58.15	21.46	15578.9
83	1655788080	59.1	21.48	15574.95
84	1655788140	56.9	21.48	15584.9
85	1655788200	56.4	21.49	15589.6
86	1655788260	57.45	21.49	15585.35
87	1655788320	58.0	21.46	15583.45
88	1655788380	58.8	21.48	15581.4
89	1655788440	59.5	21.47	15575.8
90	1655788500	61.4	21.49	15567.0
91	1655788560	61.45	21.47	15564.65
92	1655788620	58.4	21.47	15576.4
93	1655788680	60.25	21.48	15571.75
94	1655788740	60.8	21.49	15569.2
95	1655788800	60.9	21.48	15566.0
96	1655788860	59.05	21.47	15571.65
97	1655788920	59.25	21.48	15569.5
98	1655788980	58.1	21.51	15576.9
99	1655789040	56.45	21.51	15584.35
100	1655789100	57.4	21.5	15578.5
101	1655789160	57.35	21.5	15577.75
102	1655789220	57.15	21.52	15581.0
103	1655789280	58.0	21.49	15577.7
104	1655789340	58.15	21.5	15574.9
105	1655789400	57.35	21.48	15579.1
106	1655789460	59.2	21.47	15572.9
107	1655789520	58.35	21.47	15575.85
108	1655789580	58.95	21.47	15576.45
109	1655789640	58.5	21.49	15574.6
110	1655789700	57.45	21.48	15578.65
111	1655789760	57.6	21.48	15577.95
112	1655789820	57.75	21.47	15577.5
113	1655789880	58.25	21.44	15575.95
114	1655789940	58.15	21.45	15575.55
115	1655790000	58.9	21.45	15574.5
116	1655790060	58.85	21.43	15573.95
117	1655790120	56.0	21.44	15582.45
118	1655790180	56.0	21.45	15583.45
119	1655790240	52.2	21.47	15592.25
120	1655790300	54.7	21.5	15584.4
121	1655790360	55.6	21.5	15582.5
122	1655790420	56.9	21.5	15576.3
123	1655790480	56.55	21.49	15579.4
124	1655790540	58.85	21.48	15570.15
125	1655790600	60.2	21.49	15564.15
126	1655790660	59.3	21.5	15568.2
127	1655790720	59.7	21.49	15566.65
128	1655790780	59.95	21.47	15566.0
129	1655790840	57.8	21.48	15571.2
130	1655790900	57.85	21.49	15576.05
131	1655790960	60.15	21.5	15567.7
132	1655791020	59.3	21.49	15571.5
133	1655791080	58.2	21.5	15572.3
134	1655791140	57.85	21.5	15574.75
135	1655791200	56.95	21.46	15577.6
136	1655791260	57.55	21.45	15577.6
137	1655791320	56.85	21.44	15578.85
138	1655791380	55.35	21.45	15585.8
139	1655791440	54.95	21.43	15589.05
140	1655791500	56.15	21.43	15583.55
141	1655791560	56.4	21.39	15582.85
142	1655791620	50.25	21.39	15598.35
143	1655791680	48.2	21.39	15606.55
144	1655791740	48.8	21.39	15609.15
145	1655791800	50.95	21.47	15602.25
146	1655791860	49.0	21.42	15612.25
147	1655791920	49.3	21.44	15612.45
148	1655791980	50.0	21.43	15607.35
149	1655792040	50.4	21.4	15603.85
150	1655792100	49.85	21.39	15608.95
151	1655792160	50.0	21.42	15608.45
