	epoch	option_close	vix_close	nifty_close
0	1656992700	136.8	20.85	15911.5
1	1656992760	133.1	20.78	15918.2
2	1656992820	133.6	20.76	15919.95
3	1656992880	127.0	20.71	15928.0
4	1656992940	126.45	20.72	15931.1
5	1656993000	125.1	20.72	15933.45
6	1656993060	127.7	20.74	15926.8
7	1656993120	129.1	20.75	15916.5
8	1656993180	125.8	20.72	15926.7
9	1656993240	129.45	20.73	15919.6
10	1656993300	133.3	20.77	15913.95
11	1656993360	127.75	20.73	15922.45
12	1656993420	132.45	20.71	15916.3
13	1656993480	133.4	20.73	15914.1
14	1656993540	127.1	20.76	15921.9
15	1656993600	130.55	20.75	15918.3
16	1656993660	125.75	20.73	15924.25
17	1656993720	126.65	20.73	15923.8
18	1656993780	130.15	20.72	15917.6
19	1656993840	132.7	20.73	15912.25
20	1656993900	135.8	20.75	15906.8
21	1656993960	135.0	20.75	15909.3
22	1656994020	132.65	20.76	15916.2
23	1656994080	133.95	20.74	15912.55
24	1656994140	129.65	20.75	15920.65
25	1656994200	126.25	20.71	15929.7
26	1656994260	117.1	20.65	15944.55
27	1656994320	112.95	20.65	15949.55
28	1656994380	111.3	20.63	15955.95
29	1656994440	109.7	20.61	15958.45
30	1656994500	109.5	20.62	15958.1
31	1656994560	108.3	20.6	15959.1
32	1656994620	110.95	20.63	15954.9
33	1656994680	109.1	20.65	15957.05
34	1656994740	107.8	20.66	15959.5
35	1656994800	107.25	20.64	15958.9
36	1656994860	103.35	20.62	15970.5
37	1656994920	103.2	20.64	15970.25
38	1656994980	104.6	20.63	15964.8
39	1656995040	104.9	20.61	15963.95
40	1656995100	101.1	20.58	15968.85
41	1656995160	102.8	20.61	15970.7
42	1656995220	104.3	20.61	15966.55
43	1656995280	104.1	20.6	15965.85
44	1656995340	103.55	20.58	15967.5
45	1656995400	103.2	20.57	15969.45
46	1656995460	100.75	20.57	15974.55
47	1656995520	101.35	20.56	15974.7
48	1656995580	100.2	20.55	15975.35
49	1656995640	96.95	20.56	15981.15
50	1656995700	98.0	20.53	15985.5
51	1656995760	100.3	20.54	15978.1
52	1656995820	101.35	20.55	15975.75
53	1656995880	102.0	20.53	15971.15
54	1656995940	102.95	20.54	15970.65
55	1656996000	105.65	20.56	15963.1
56	1656996060	102.75	20.56	15971.1
