,epoch,PE_16100,vix_close,CE_16150,PE_16050,CE_16200,PE_16000,CE_16250,PE_15950,CE_16300,PE_15900,CE_16350,PE_15850,CE_16400,PE_15800,CE_16450,PE_15750,CE_16500,PE_15700,CE_16550,PE_15650,CE_16600,PE_15600,CE_16650,PE_15550,CE_16700,nifty_open,nifty_high,nifty_low,nifty_close,nifty_volume
11,1657511760,108.8,19.15,112.6,89.2,89.15,72.05,68.5,57.65,51.15,46.0,37.4,36.6,26.95,28.75,19.15,22.55,13.3,17.5,9.0,13.4,6.2,10.45,4.45,8.0,3.35,16148.1,16153.75,16144.9,16145.45,0
12,1657511820,108.15,19.13,112.8,88.4,89.0,71.55,68.4,57.35,50.75,45.5,37.2,36.25,26.8,28.5,18.95,22.35,13.25,17.35,9.0,13.2,6.15,10.25,4.3,7.95,3.3,16145.15,16146.2,16142.7,16145.75,0
13,1657511880,108.6,19.13,111.3,89.0,88.0,72.0,67.65,57.65,50.4,45.9,36.85,36.35,26.55,28.5,18.75,22.35,12.95,17.4,8.85,13.25,6.0,10.35,4.3,8.0,3.3,16145.5,16150.25,16144.75,16145.35,0
14,1657511940,110.95,19.14,109.45,90.45,86.35,73.55,66.25,58.65,49.4,46.6,36.2,37.1,26.05,29.0,18.35,22.85,12.85,17.6,8.8,13.55,6.0,10.55,4.3,8.05,3.3,16145.8,16145.8,16136.9,16140.0,0
15,1657512000,110.65,19.14,108.45,90.35,85.4,73.45,65.2,58.55,48.35,46.6,35.1,37.0,25.2,29.0,17.55,22.7,12.25,17.55,8.35,13.5,5.75,10.45,4.1,8.05,3.15,16141.3,16143.35,16137.0,16138.4,0
16,1657512060,112.35,19.14,107.6,91.8,84.45,74.65,64.7,59.65,47.95,47.6,34.7,37.65,25.0,29.6,17.55,23.4,12.15,18.05,8.2,13.95,5.65,10.9,4.05,8.4,3.15,16138.0,16139.7,16135.05,16135.05,0
17,1657512120,114.55,19.12,103.25,93.6,80.85,75.85,61.5,60.8,45.2,48.3,32.6,38.45,23.45,30.05,16.3,23.55,11.25,18.1,7.55,14.0,5.25,10.8,3.8,8.35,2.9,16135.45,16135.45,16123.95,16125.2,0
18,1657512180,115.0,19.13,104.2,93.85,81.8,75.8,62.3,60.45,46.2,48.15,33.5,38.15,23.95,29.8,16.8,23.25,11.6,17.9,7.7,13.7,5.35,10.65,3.8,8.1,2.95,16125.1,16132.35,16122.0,16131.65,0
19,1657512240,114.95,19.12,103.6,93.75,81.3,75.75,61.95,60.25,45.9,47.75,33.3,37.6,23.9,29.35,16.85,22.8,11.75,17.6,7.9,13.4,5.45,10.35,3.85,7.9,3.0,16130.55,16130.55,16125.8,16127.85,0
20,1657512300,115.85,19.12,101.9,94.4,79.8,75.95,60.65,61.0,44.75,48.25,32.5,38.1,23.2,29.65,16.25,23.1,11.35,17.7,7.6,13.5,5.3,10.5,3.85,7.9,2.95,16127.7,16127.75,16119.35,16124.6,0
