	epoch	option_close	vix_close	nifty_close
0	1655351100	1.3	21.02	15833.25
1	1655351160	1.5	20.91	15853.65
2	1655351220	1.4	20.87	15847.0
3	1655351280	1.35	20.77	15845.85
4	1655351340	1.35	20.87	15844.8
5	1655351400	1.4	20.82	15845.8
6	1655351460	1.35	20.86	15837.3
7	1655351520	1.25	20.85	15829.45
8	1655351580	1.2	20.71	15821.75
9	1655351640	1.2	20.77	15817.8
10	1655351700	1.1	20.82	15812.1
11	1655351760	1.25	20.83	15808.4
12	1655351820	1.2	20.95	15820.05
13	1655351880	1.15	20.95	15826.45
14	1655351940	1.1	20.9	15831.3
15	1655352000	1.15	20.83	15844.05
16	1655352060	1.2	20.81	15838.3
17	1655352120	1.15	20.78	15836.1
18	1655352180	1.1	20.74	15827.5
19	1655352240	1.05	20.75	15827.05
20	1655352300	1.1	20.75	15823.95
21	1655352360	1.1	20.75	15819.7
22	1655352420	1.15	20.77	15811.05
23	1655352480	1.1	20.77	15808.8
24	1655352540	1.2	20.79	15805.1
25	1655352600	1.15	20.76	15812.65
26	1655352660	1.15	20.77	15804.35
27	1655352720	1.15	20.85	15794.1
28	1655352780	1.15	20.87	15788.1
29	1655352840	1.15	20.9	15793.4
30	1655352900	1.15	20.88	15797.75
31	1655352960	1.1	20.82	15804.95
32	1655353020	1.15	20.88	15799.95
33	1655353080	1.15	20.88	15794.4
34	1655353140	1.2	20.86	15785.65
35	1655353200	1.1	20.88	15789.4
36	1655353260	1.15	20.89	15784.7
37	1655353320	1.1	20.88	15784.25
38	1655353380	1.05	20.86	15794.35
39	1655353440	1.05	20.92	15781.9
40	1655353500	1.1	20.91	15785.75
41	1655353560	1.1	20.89	15788.65
42	1655353620	1.15	20.92	15779.4
43	1655353680	1.2	20.93	15768.65
44	1655353740	1.15	20.97	15768.7
45	1655353800	1.1	20.98	15777.0
46	1655353860	1.1	21.0	15774.0
47	1655353920	1.2	21.06	15765.1
48	1655353980	1.15	21.05	15766.4
49	1655354040	1.1	21.01	15778.7
50	1655354100	1.1	21.02	15775.6
51	1655354160	1.1	21.01	15776.45
52	1655354220	1.1	21.0	15772.15
53	1655354280	1.15	20.94	15779.0
54	1655354340	1.1	20.97	15773.05
55	1655354400	1.05	20.99	15767.75
56	1655354460	1.1	21.0	15766.35
57	1655354520	1.1	20.98	15772.25
58	1655354580	1.2	20.99	15761.3
59	1655354640	1.15	21.0	15756.95
60	1655354700	1.15	21.02	15759.05
61	1655354760	1.25	21.0	15752.7
62	1655354820	1.15	21.02	15746.1
63	1655354880	1.2	21.03	15745.1
64	1655354940	1.3	21.03	15749.55
65	1655355000	1.2	21.03	15749.85
66	1655355060	1.25	21.04	15744.0
67	1655355120	1.35	21.02	15739.8
68	1655355180	1.5	21.04	15730.8
69	1655355240	1.5	21.07	15736.15
70	1655355300	1.6	21.07	15733.65
71	1655355360	1.5	21.06	15740.05
72	1655355420	1.55	21.05	15734.3
73	1655355480	1.45	20.95	15735.55
74	1655355540	1.5	21.11	15732.65
75	1655355600	1.7	21.12	15723.7
76	1655355660	1.65	21.12	15726.85
77	1655355720	1.65	21.12	15722.05
78	1655355780	1.5	21.12	15732.7
79	1655355840	1.5	21.07	15737.8
80	1655355900	1.2	20.98	15749.55
81	1655355960	1.15	20.97	15748.35
82	1655356020	1.35	21.06	15740.0
83	1655356080	1.45	21.08	15728.95
84	1655356140	1.4	21.1	15730.4
85	1655356200	1.35	21.12	15732.95
86	1655356260	1.35	21.11	15733.55
87	1655356320	1.5	21.14	15721.85
88	1655356380	1.7	21.18	15714.85
89	1655356440	1.65	21.19	15713.35
90	1655356500	1.65	21.24	15710.1
91	1655356560	1.4	21.23	15717.05
92	1655356620	1.35	21.17	15719.6
93	1655356680	1.45	21.2	15712.95
94	1655356740	1.6	21.23	15712.25
95	1655356800	1.4	21.21	15724.1
96	1655356860	1.45	21.23	15726.65
97	1655356920	1.6	21.27	15719.3
98	1655356980	1.45	21.24	15726.1
99	1655357040	1.45	21.27	15726.15
100	1655357100	1.45	21.26	15731.55
101	1655357160	1.45	21.25	15731.3
102	1655357220	1.4	21.17	15742.45
103	1655357280	1.45	21.18	15735.25
104	1655357340	1.45	21.2	15729.6
105	1655357400	1.3	21.18	15734.05
106	1655357460	1.4	21.22	15729.75
107	1655357520	1.5	21.23	15721.35
108	1655357580	1.5	21.25	15725.0
109	1655357640	1.5	21.25	15717.3
110	1655357700	1.6	21.24	15713.6
111	1655357760	1.55	21.26	15708.65
112	1655357820	1.65	21.37	15701.25
113	1655357880	1.7	21.43	15695.9
114	1655357940	1.85	21.48	15691.35
115	1655358000	1.85	21.48	15693.25
116	1655358060	1.65	21.41	15699.45
117	1655358120	1.7	21.39	15702.35
118	1655358180	1.95	21.39	15695.1
119	1655358240	1.8	21.41	15696.3
120	1655358300	2.05	21.42	15686.5
121	1655358360	2.2	21.51	15678.8
122	1655358420	2.95	21.59	15671.45
123	1655358480	3.5	21.68	15663.9
124	1655358540	3.85	21.75	15654.35
125	1655358600	5.8	21.8	15638.85
126	1655358660	5.85	21.85	15633.7
127	1655358720	5.7	21.89	15622.35
128	1655358780	5.6	21.87	15622.3
129	1655358840	4.5	21.77	15629.0
130	1655358900	4.0	21.67	15639.8
131	1655358960	4.4	21.7	15636.5
132	1655359020	4.05	21.67	15640.5
133	1655359080	5.2	21.68	15626.55
134	1655359140	4.95	21.71	15629.25
135	1655359200	4.15	21.67	15631.7
136	1655359260	3.65	21.66	15640.3
137	1655359320	3.3	21.59	15641.9
138	1655359380	2.7	21.5	15649.5
139	1655359440	3.5	21.57	15649.75
140	1655359500	3.4	21.57	15655.1
141	1655359560	3.9	21.63	15645.45
142	1655359620	4.2	21.72	15639.4
143	1655359680	4.4	21.8	15633.1
144	1655359740	4.0	21.8	15634.75
145	1655359800	4.9	21.79	15617.55
146	1655359860	5.15	21.8	15609.6
147	1655359920	4.75	21.82	15601.55
148	1655359980	4.25	21.78	15613.45
149	1655360040	3.35	21.74	15620.2
150	1655360100	3.5	21.81	15620.5
151	1655360160	4.0	21.81	15617.85
152	1655360220	4.1	21.78	15606.8
153	1655360280	4.9	21.86	15593.1
154	1655360340	4.5	21.85	15596.15
155	1655360400	4.6	21.82	15589.7
156	1655360460	3.9	21.86	15597.1
157	1655360520	4.2	21.82	15596.0
158	1655360580	4.0	21.82	15597.6
159	1655360640	3.95	21.87	15601.45
160	1655360700	3.9	21.85	15604.4
161	1655360760	4.05	21.84	15600.35
162	1655360820	4.0	21.85	15601.55
163	1655360880	4.2	21.84	15606.35
164	1655360940	4.35	21.87	15598.65
165	1655361000	4.25	21.88	15597.05
166	1655361060	4.95	21.92	15587.3
167	1655361120	5.2	21.97	15576.4
168	1655361180	6.15	21.96	15572.15
169	1655361240	6.0	21.93	15567.75
170	1655361300	5.05	21.93	15572.55
171	1655361360	5.45	21.97	15569.15
172	1655361420	6.9	22.0	15556.1
173	1655361480	6.8	22.01	15551.4
174	1655361540	8.55	22.02	15542.55
175	1655361600	8.45	22.04	15553.15
176	1655361660	7.25	21.99	15561.1
177	1655361720	6.3	22.0	15568.0
178	1655361780	7.2	22.0	15566.1
179	1655361840	6.1	21.95	15573.2
180	1655361900	4.65	21.85	15589.55
181	1655361960	4.45	21.62	15604.7
182	1655362020	5.3	21.69	15596.0
183	1655362080	4.5	21.69	15598.45
184	1655362140	5.1	21.73	15586.4
185	1655362200	5.85	21.76	15580.2
186	1655362260	6.05	21.78	15572.35
187	1655362320	6.0	21.81	15572.35
188	1655362380	5.75	21.83	15571.3
189	1655362440	5.7	21.86	15574.8
190	1655362500	6.0	21.91	15568.55
191	1655362560	6.05	21.9	15565.75
192	1655362620	6.45	21.91	15555.6
193	1655362680	6.5	21.91	15553.4
194	1655362740	5.65	21.91	15560.9
195	1655362800	5.85	21.93	15560.2
196	1655362860	4.9	21.86	15571.5
197	1655362920	3.6	21.83	15581.7
198	1655362980	5.15	21.83	15569.55
199	1655363040	5.0	22.0	15572.9
200	1655363100	4.55	22.0	15575.85
201	1655363160	4.55	22.0	15578.0
202	1655363220	3.95	21.99	15583.4
203	1655363280	4.35	22.0	15576.15
204	1655363340	4.7	22.03	15576.15
205	1655363400	5.15	22.03	15566.15
206	1655363460	5.85	22.1	15555.5
207	1655363520	6.3	22.13	15543.65
208	1655363580	6.7	22.17	15534.8
209	1655363640	5.05	22.06	15550.0
210	1655363700	6.4	22.08	15538.65
211	1655363760	6.7	22.09	15531.25
212	1655363820	6.0	22.09	15536.3
